"Title","Link","Published Date","Description"
"Mehr als 20 chinesische Kampfflugzeuge vor Taiwan gesichtet","https://www.derstandard.at/story/3000000203630/mehr-als-20-chinesische-kampfflugzeuge-vor-taiwan-gesichtet?ref=rss","Thu Jan 18 10:18:30 CET 2024","Zum Teil drangen die Kampfflugzeuge in die Luftverteidigungszone Taiwans ein. Auch mehrere Marineschiffe wurden gesichtet"
"AfD-Mitarbeiter brüstete sich mit Gewalt gegen linken Aktivisten","https://www.derstandard.at/story/3000000203587/afd-mitarbeiter-bruestet-sich-mit-gewalt-gegen-linken-aktivisten?ref=rss","Wed Jan 17 23:21:14 CET 2024","Beim Geheimtreffen von Rechtsextremen mit AfD-Politikern soll der Mitarbeiter eines AfD-Bundestagsabgeordneten erklärt haben, wie ihm Quellen aus dem Parlament bei seinem Kampf gegen Linke helfen"
"2023 ertranken laut Uno hunderte Migranten im östlichen Mittelmeer","https://www.derstandard.at/story/3000000203682/2023-ertranken-laut-uno-hunderte-migranten-im-oestlichen-mittelmeer?ref=rss","Thu Jan 18 14:30:29 CET 2024","710 Menschen sind vergangenes Jahr beim Versuch, in die EU zu gelangen, im östlichen Mittelmeer gestorben oder gelten weiterhin als vermisst"
"EU beschließt strengere CO2-Emissionsstandards für schwere Fahrzeuge","https://www.derstandard.at/story/3000000203676/eu-beschliesst-strengere-co2-emissionsstandards-fuer-schwere-fahrzeuge?ref=rss","Thu Jan 18 14:18:28 CET 2024","Flotten von Lkws oder Bussen sollen bis 2030 45 Prozent weniger CO2-Emissionen verursachen als im Jahr 2019"
"Britischer König Charles III. muss ins Krankenhaus","https://www.derstandard.at/story/3000000203580/britischer-k246nig-charles-iii-muss-ins-krankenhaus?ref=rss","Wed Jan 17 18:23:50 CET 2024","Der König muss für eine Prostata-Behandlung ins Spital. Prinzessin Kate hatte indes eine Operation am Bauch, zu der keine Details genannt wurden"
"Britisches Unterhaus beschließt Gesetz zu Ruanda-Abschiebungen","https://www.derstandard.at/story/3000000203595/britisches-unterhaus-beschliesst-gesetz-zu-ruanda-abschiebungen?ref=rss","Thu Jan 18 05:37:28 CET 2024","Der britische Premier Rishi Sunak hat sich mit dem umstrittenen Gesetz zur Abschiebung nach Ruanda durchgesetzt. Im Unterhaus stimmten 320 Abgeordnete dafür, 270 dagegen"
"Polnisches Gericht ordnet Zwangsernährung von Ex-Minister in Haft an","https://www.derstandard.at/story/3000000203586/polen-gericht-ordnet-zwangsern228hrung-von-ex-minister-an?ref=rss","Wed Jan 17 20:11:15 CET 2024","Der ehemalige polnische Innenminister Mariusz Kaminski protestiert mit einem Hungerstreik gegen seine Haftstrafe"
"FPÖ inseriert in Propagandaorgan der Identitären","https://www.derstandard.at/story/3000000203133/fpoe-inseriert-in-propagandaorgan-der-identitaeren?ref=rss","Thu Jan 18 13:59:46 CET 2024","Der Verfassungsschutz warnt vor der rechtsextremen Gruppierung, Herbert Kickl findet sie ""unterstützenswert"""
"Bierpartei will bei Nationalratswahl antreten, wenn sie Spendenziel erreicht","https://www.derstandard.at/story/3000000203600/bierpartei-wil?ref=rss","Thu Jan 18 09:11:25 CET 2024","Parteichef Dominik Wlazny will bis Ende April 20.000 Mitglieder oder entsprechende Spenden sammeln, um in den Wahlkampf einzusteigen. Es geht um rund 1,2 Millionen Euro"
"Babler will Wahlärzte zur Behandlung von Kassenpatienten verpflichten","https://www.derstandard.at/story/3000000203564/babler-will-wahlaerzte-fuer-kassenpatienten-verpflichten?ref=rss","Wed Jan 17 19:00:00 CET 2024","Geht es nach dem SPÖ-Chef, sollen Wahlärzte verpflichtet werden, einen Teil ihrer Patientinnen und Patienten nach dem Kassentarif zu behandeln"
"Alexander Van der Bellen ist 80","https://www.derstandard.at/story/3000000203607/alexander-van-der-bellen-ist-80?ref=rss","Thu Jan 18 09:16:01 CET 2024","Der Bundespräsident will den runden Geburtstag im kleinen Rahmen feiern. Am Abend läuft eine Geburtstagssendung im Fernsehen"
